节次,时间区间,周一,周二,周三,周四,周五,周六,周日
第 1 节,08:30-09:15,"形势与政策 (2) [02]樊牡丹12-13 周，星期 1, 第 1 节 - 第 2 节，311 教室 (格物园 E 座)汽车构造 [01]邓志君14 周，星期 1, 第 1 节 - 第 2 节，314 教室 (格物园 E 座)","高等数学一 (下) [02]罗爽2-16 周 (双), 星期 2, 第 1 节 - 第 2 节，日新楼南 404C/C++ 程序设计一 [02]李梦莹1-15 周 (单), 星期 2, 第 1 节 - 第 2 节，信息楼 106 机房","大学物理与实验一 [03]曹临森2-16 周 (双), 星期 3, 第 1 节 - 第 2 节，110 (格物园 E 座阶梯教室)汽车构造 [01]邓志君13 周，星期 3, 第 1 节 - 第 2 节，313 教室 (格物园 E 座)","高等数学一 (下) [02]罗爽1-9 周，11-16 周，星期 4, 第 1 节 - 第 2 节，日新楼南 404","电子技术一 [01]刘丽莎1-7 周，9-11,14 周，星期 5, 第 1 节 - 第 2 节，单片机技术 3 (格物园 B 座 508)","体质健康 1 (体质测试 (课表时间不上课)) [14]王沿峰18 周，星期 6, 第 1 节 - 第 4 节，体质健康测试成绩",
第 2 节,09:20-10:05,"中国近现代史纲要 [02]樊牡丹1-10 周，星期 1, 第 1 节 - 第 2 节，311 教室 (格物园 E 座)高等数学一 (下) [02]罗爽11 周，星期 1, 第 1 节 - 第 2 节，311 教室 (格物园 E 座)",,"C/C++ 程序设计一 [02]李梦莹7 周，星期 3, 第 1 节 - 第 2 节，1803 (格物园 E 座)",,,,
第 3 节,10:25-11:10,"汽车构造 [01]邓志君1-13 周 (单), 星期 1, 第 3 节 - 第 4 节，315 教室 (格物园 E 座)","电子技术一 [01]刘丽莎1-13 周，13-14 周，星期 2, 第 3 节 - 第 4 节，单片机技术 3 (格物园 B 座 508)","中国近现代史纲要 [02]樊牡丹1-10 周，星期 3, 第 3 节 - 第 4 节，311 教室 (格物园 E 座)","大学体育 (2) (健身健美) [06]张龙1-12 周，14-16 周，星期 4, 第 3 节 - 第 4 节，D13 南门馆体能训练中心","汽车构造 [01]程正坤1-5 周，星期 5, 第 3 节 - 第 4 节，格物园 B 座 104","体质健康 1 (体质测试 (课表时间不上课)) [14]王沿峰18 周，星期 6, 第 1 节 - 第 4 节，体质健康测试成绩",
第 4 节,11:15-12:00,"大学物理与实验一 [03]曹临森2-16 周 (双), 星期 1, 第 3 节 - 第 4 节，110 (格物园 E 座阶梯教室)","电子技术一 [01]刘飞12 周，星期 2, 第 3 节 - 第 4 节，单片机技术 3 (格物园 B 座 508)","形势与政策 (2) [02]樊牡丹12-13 周，星期 3, 第 3 节 - 第 4 节，311 教室 (格物园 E 座)大学外语 (2) [08]梁霜15 周，星期 3, 第 3 节 - 第 4 节，316 教室 (格物园 E 座)",,"汽车构造 [01]邓志君1-5 周，7-9 周 (单),11-16 周，星期 5, 第 3 节 - 第 4 节，格物园 B 座 104","大学体育 (2) (健身健美) [06]张龙16 周，星期 6, 第 3 节 - 第 4 节，D13 南门馆体能训练中心",
第 5 节,14:00-14:45,"高等数学一 (下) [02]罗爽1-14 周，16 周，星期 1, 第 5 节 - 第 6 节，313 教室 (格物园 E 座)","C/C++ 程序设计一 [02]李梦莹2-16 周 (双), 星期 2, 第 5 节 - 第 6 节，1803 (格物园 E 座)",,"大学外语 (2) [08]梁霜1-9 周，11-16 周，星期 4, 第 5 节 - 第 5 节，312 教室 (格物园 E 座)","C/C++ 程序设计一 [02]李梦莹1-5 周，7-9 周 (单),11-16 周，星期 5, 第 5 节 - 第 6 节，1803 (格物园 E 座)",,
第 6 节,14:50-15:35,,"大学物理与实验一 [03S01]曹临森1-15 周 (单), 星期 2, 第 5 节 - 第 8 节，物理电学实验室 (日新楼南 807)",,,"C/C++ 程序设计一 [02]李梦莹8 周，星期 5, 第 5 节 - 第 6 节，1904 (格物园 E 座)",,
第 7 节,15:45-16:30,"大学外语 (2) [08]梁霜1-14 周，16 周，星期 1, 第 7 节 - 第 8 节，315 教室 (格物园 E 座)","大学物理与实验一 [03S01]曹临森1-15 周 (单), 星期 2, 第 5 节 - 第 8 节，物理电学实验室 (日新楼南 807)",,"电子技术一 [01]刘丽莎1-9 周，11-15 周，星期 4, 第 7 节 - 第 8 节，单片机技术 3 (格物园 B 座 508)",,,
第 8 节,16:35-17:20,,"汽车构造 [01]邓志君2-16 周 (双), 星期 2, 第 7 节 - 第 8 节，315 教室 (格物园 E 座)",,,,,
第 9 节,17:30-18:15,,,,,,,
第 10 节,18:20-18:55,,,,,,,
第 11 节,19:05-19:50,,,,,,,
第 12 节,19:55-20:30,,,,,,,
